@relation airquality

@attribute ﻿province string
@attribute city string
@attribute city_code numeric
@attribute aqi numeric
@attribute quality numeric
@attribute so2_24h numeric
@attribute no2_24h numeric
@attribute co_24h numeric
@attribute o3_8h_24h numeric
@attribute pm10_24h numeric
@attribute pm2_5_24h numeric
@attribute pubtime string

@data
北京市,北京市,110000,190,3,24,51,1.257,28,143,52,2014/1/1
北京市,北京市,110000,139,2,26,70,1.43,7,106,46,2014/1/2
北京市,北京市,110000,223,4,75,96,3.513,33,173,119,2014/1/3
北京市,北京市,110000,129,2,29,52,1.404,5,98,47,2014/1/4
北京市,北京市,110000,199,3,42,77,2.85,16,149,122,2014/1/5
北京市,北京市,110000,114,2,38,70,2.262,4,84,86,2014/1/6
北京市,北京市,110000,186,3,47,68,2.411,21,89,140,2014/1/7
北京市,北京市,110000,132,2,35,60,1.937,44,61,100,2014/1/8
北京市,北京市,110000,50,0,14,24,0.53,35,17,16,2014/1/9
北京市,北京市,110000,57,1,19,34,0.782,10,40,28,2014/1/10
北京市,北京市,110000,104,2,50,68,1.721,8,78,63,2014/1/11
北京市,北京市,110000,165,3,79,96,2.789,38,101,125,2014/1/12
北京市,北京市,110000,57,1,27,40,0.716,9,33,25,2014/1/13
北京市,北京市,110000,120,2,68,81,2.267,13,89,91,2014/1/14
北京市,北京市,110000,113,2,65,77,2.277,11,79,85,2014/1/15
北京市,北京市,110000,172,3,67,85,2.594,10,130,117,2014/1/16
北京市,北京市,110000,408,5,109,126,4.788,13,341,362,2014/1/17
北京市,北京市,110000,207,4,69,76,2.425,23,101,157,2014/1/18
北京市,北京市,110000,115,2,41,61,1.524,18,52,87,2014/1/19
北京市,北京市,110000,213,4,73,68,2.547,57,163,119,2014/1/20
北京市,北京市,110000,49,0,7,15,0.319,34,32,8,2014/1/21
北京市,北京市,110000,64,1,36,46,1.038,9,45,41,2014/1/22
北京市,北京市,110000,162,3,74,84,2.298,5,123,119,2014/1/23
北京市,北京市,110000,280,4,118,112,4.043,12,230,224,2014/1/24
北京市,北京市,110000,201,4,82,86,2.884,38,127,151,2014/1/25
北京市,北京市,110000,52,1,24,36,0.906,29,29,21,2014/1/26
北京市,北京市,110000,104,2,46,43,0.992,24,78,52,2014/1/27
北京市,北京市,110000,137,2,59,56,1.844,43,104,91,2014/1/28
北京市,北京市,110000,100,1,30,38,0.942,9,75,41,2014/1/29
北京市,北京市,110000,178,3,71,71,2.341,42,134,122,2014/1/30
北京市,北京市,110000,107,2,39,43,1.204,21,80,70,2014/1/31
北京市,北京市,110000,228,4,65,44,1.459,8,178,142,2014/2/1
北京市,北京市,110000,178,3,53,54,1.991,43,70,134,2014/2/2
北京市,北京市,110000,95,1,20,28,1.209,70,71,68,2014/2/3
北京市,北京市,110000,78,1,6,8,0.325,57,31,6,2014/2/4
北京市,北京市,110000,54,1,20,21,0.638,26,38,27,2014/2/5
北京市,北京市,110000,120,2,55,46,1.593,22,91,88,2014/2/6
北京市,北京市,110000,159,3,69,59,2.069,15,55,121,2014/2/7
北京市,北京市,110000,124,2,35,48,1.456,36,11,94,2014/2/8
北京市,北京市,110000,90,1,24,33,1.197,55,6,67,2014/2/9
北京市,北京市,110000,59,1,16,17,0.457,42,11,9,2014/2/10
北京市,北京市,110000,50,0,24,35,0.706,19,15,24,2014/2/11
北京市,北京市,110000,137,2,59,71,2.027,21,38,104,2014/2/12
北京市,北京市,110000,150,2,51,69,1.989,17,40,115,2014/2/13
北京市,北京市,110000,239,4,73,74,2.781,14,51,189,2014/2/14
北京市,北京市,110000,318,5,75,87,3.016,14,118,268,2014/2/15
北京市,北京市,110000,430,5,100,98,3.677,27,105,395,2014/2/16
北京市,北京市,110000,362,5,81,82,3.135,29,46,312,2014/2/17
北京市,北京市,110000,127,2,54,52,1.609,27,25,96,2014/2/18
北京市,北京市,110000,94,1,32,47,0.948,31,35,70,2014/2/19
北京市,北京市,110000,89,1,30,48,1.024,11,40,66,2014/2/20
北京市,北京市,110000,244,4,41,63,1.931,20,164,194,2014/2/21
北京市,北京市,110000,316,5,80,98,2.711,12,174,266,2014/2/22
北京市,北京市,110000,307,5,104,94,3.304,9,221,257,2014/2/23
北京市,北京市,110000,253,4,130,83,3.477,11,169,203,2014/2/24
北京市,北京市,110000,350,5,132,118,4.736,9,300,267,2014/2/25
北京市,北京市,110000,403,5,79,116,5.058,14,267,354,2014/2/26
北京市,北京市,110000,353,5,80,108,3.636,55,106,303,2014/2/27
北京市,北京市,110000,39,0,13,27,0.486,16,6,17,2014/2/28
北京市,北京市,110000,108,2,34,72,1.437,51,66,81,2014/3/1
北京市,北京市,110000,70,1,24,51,0.767,18,51,43,2014/3/2
北京市,北京市,110000,217,4,62,89,2.481,6,167,138,2014/3/3
北京市,北京市,110000,285,4,100,99,4.119,45,235,217,2014/3/4
北京市,北京市,110000,84,1,29,41,1.214,49,62,60,2014/3/5
北京市,北京市,110000,77,1,17,37,0.8,56,33,21,2014/3/6
北京市,北京市,110000,46,0,15,31,0.588,32,27,17,2014/3/7
北京市,北京市,110000,95,1,27,54,1.008,20,71,49,2014/3/8
北京市,北京市,110000,207,4,71,93,2.326,39,157,135,2014/3/9
北京市,北京市,110000,143,2,47,70,1.627,23,109,96,2014/3/10
北京市,北京市,110000,127,2,52,74,1.694,37,96,77,2014/3/11
北京市,北京市,110000,222,4,72,80,2.24,64,172,153,2014/3/12
北京市,北京市,110000,74,1,10,27,0.42,54,20,11,2014/3/13
