@relation 'airquality-weka.filters.unsupervised.attribute.Remove-R1-3,12-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Standardize'

@attribute aqi numeric
@attribute quality numeric
@attribute so2_24h numeric
@attribute no2_24h numeric
@attribute co_24h numeric
@attribute o3_8h_24h numeric
@attribute pm10_24h numeric
@attribute pm2_5_24h numeric

@data
1.837208,3,1.444369,0.580953,0.574364,-1.163131,0.975667,-0.025477
0.920965,2,1.620825,1.455335,0.818386,-1.510819,0.437123,-0.139377
2.430072,4,5.943982,2.651859,3.756524,-1.080348,1.412324,1.246405
0.741309,2,1.885508,0.626973,0.781712,-1.543932,0.320681,-0.120394
1.998898,3,3.032468,1.777476,2.821341,-1.36181,1.062998,1.303355
0.471825,2,2.679557,1.455335,1.991948,-1.560489,0.116908,0.619956
1.765346,3,3.473607,1.363295,2.202118,-1.279027,0.189684,1.645055
0.795206,2,2.414874,0.995134,1.533525,-0.898225,-0.217863,0.885722
-0.677971,0,0.562092,-0.661591,-0.451093,-1.047235,-0.858293,-0.708877
-0.552212,1,1.003231,-0.20139,-0.095639,-1.461149,-0.523522,-0.481077
0.29217,2,3.73829,1.363295,1.228851,-1.494263,0.029576,0.183339
1.388069,3,6.296893,2.651859,2.735299,-0.997565,0.364347,1.360305
-0.552212,1,1.709052,0.074731,-0.188734,-1.477706,-0.625409,-0.538027
0.579619,2,5.326389,1.961557,1.999001,-1.41148,0.189684,0.714872
0.45386,2,5.061705,1.777476,2.013106,-1.444593,0.044132,0.600972
1.513828,3,5.238161,2.145637,2.460245,-1.461149,0.786449,1.208439
5.753702,5,8.943725,4.032462,5.554952,-1.41148,3.857603,5.859352
2.142623,4,5.414616,1.731456,2.221865,-1.245914,0.364347,1.967771
0.489791,2,2.94424,1.041154,0.950976,-1.328697,-0.34886,0.638939
2.250416,4,5.767527,1.363295,2.39395,-0.682989,1.266771,1.246405
-0.695936,0,-0.055502,-1.075772,-0.748715,-1.063791,-0.639964,-0.860743
-0.426453,1,2.503102,0.350852,0.265457,-1.477706,-0.450746,-0.234294
1.334173,3,5.855755,2.099617,2.042728,-1.543932,0.684562,1.246405
3.454109,4,9.737774,3.388181,4.504106,-1.428036,2.241972,3.239654
2.03483,4,6.561576,2.191657,2.869299,-0.997565,0.742783,1.853871
-0.64204,1,1.444369,-0.109349,0.079267,-1.146574,-0.68363,-0.61396
0.29217,2,3.385379,0.212792,0.200573,-1.229357,0.029576,-0.025477
0.885033,2,4.532339,0.811053,1.402346,-0.914782,0.408013,0.714872
0.220307,1,1.973736,-0.017309,0.130046,-1.477706,-0.014089,-0.234294
1.621622,3,5.591072,1.501355,2.10338,-0.931338,0.84467,1.303355
0.346066,2,2.767785,0.212792,0.499605,-1.279027,0.058687,0.316223
2.5199,4,5.061705,0.258812,0.859291,-1.494263,1.4851,1.683022
1.621622,3,4.002973,0.719013,1.609694,-0.914782,-0.086865,1.531155
0.13048,1,1.091458,-0.47751,0.506658,-0.467754,-0.07231,0.278256
-0.174935,1,-0.143729,-1.397913,-0.740252,-0.682989,-0.65452,-0.89871
-0.606109,1,1.091458,-0.799651,-0.298756,-1.196244,-0.552633,-0.50006
0.579619,2,4.179428,0.350852,1.048302,-1.26247,0.218795,0.657922
1.280276,3,5.414616,0.949114,1.719716,-1.378366,-0.305194,1.284372
0.651481,2,2.414874,0.442892,0.85506,-1.030678,-0.945624,0.771822
0.040652,1,1.444369,-0.24741,0.489732,-0.716103,-1.0184,0.259273
-0.516281,1,0.738548,-0.983732,-0.554062,-0.931338,-0.945624,-0.84176
-0.677971,0,1.444369,-0.155369,-0.20284,-1.31214,-0.887403,-0.55701
0.885033,2,4.532339,1.501355,1.660473,-1.279027,-0.552633,0.961655
1.118586,2,3.826517,1.409315,1.606873,-1.345253,-0.523522,1.170472
2.717521,4,5.767527,1.639416,2.724015,-1.394923,-0.363415,2.575238
4.136801,5,5.943982,2.237677,3.05549,-1.394923,0.611786,4.07492
6.148944,5,8.149675,2.743899,3.987851,-1.179687,0.422568,6.485801
4.927286,5,6.473349,2.007577,3.223343,-1.146574,-0.436191,4.910186
0.705378,2,4.091201,0.626973,1.070871,-1.179687,-0.741851,0.809789
0.112514,1,2.150191,0.396872,0.138509,-1.113461,-0.596299,0.316223
0.022686,1,1.973736,0.442892,0.24571,-1.444593,-0.523522,0.240289
2.807349,4,2.94424,1.133194,1.525062,-1.295583,1.281327,2.670154
4.10087,5,6.385121,2.743899,2.625277,-1.428036,1.426879,4.036953
3.93918,5,8.502586,2.559818,3.461723,-1.477706,2.110975,3.866103
2.969039,4,10.796507,2.053597,3.705745,-1.444593,1.354103,2.841004
4.711699,5,10.972962,3.664301,5.481605,-1.477706,3.260839,4.055937
5.663874,5,6.296893,3.572261,5.935796,-1.394923,2.780516,5.707485
4.765596,5,6.385121,3.2041,3.93002,-0.716103,0.437123,4.739336
-0.875592,0,0.473864,-0.52353,-0.513157,-1.36181,-1.0184,-0.689893
0.364032,2,2.326646,1.547375,0.828259,-0.782329,-0.145086,0.525039
-0.318659,1,1.444369,0.580953,-0.116797,-1.328697,-0.363415,-0.196327
2.322279,4,4.797022,2.329718,2.300855,-1.527376,1.324992,1.607088
3.543937,4,8.149675,2.789919,4.611307,-0.881669,2.314748,3.106771
-0.067142,1,1.885508,0.120751,0.513711,-0.815442,-0.203307,0.126389
-0.192901,1,0.826775,-0.063329,-0.07025,-0.699546,-0.625409,-0.61396
-0.749833,0,0.65032,-0.33945,-0.369282,-1.096904,-0.71274,-0.689893
0.13048,1,1.709052,0.719013,0.223141,-1.295583,-0.07231,-0.082427
2.142623,4,5.591072,2.513798,2.082222,-0.981008,1.17944,1.550138
0.992827,2,3.473607,1.455335,1.096261,-1.245914,0.480789,0.809789
0.705378,2,3.914745,1.639416,1.190766,-1.014121,0.291571,0.449106
2.412107,4,5.679299,1.915536,1.960917,-0.567093,1.397769,1.891838
-0.246797,1,0.209181,-0.52353,-0.606252,-0.732659,-0.814627,-0.803793
0.256239,2,0.65032,0.028711,-0.295935,-0.567093,0.000466,-0.61396
0.346066,2,0.562092,-0.24741,-0.470841,-1.146574,0.058687,-0.61396
2.501934,4,3.297151,2.513798,0.932639,-0.765772,1.470545,0.809789
2.879211,4,6.296893,1.547375,1.819863,-0.881669,1.776205,1.132505
3.561903,4,1.79728,0.580953,0.503837,-0.451197,2.329304,0.544022
1.298241,3,0.915003,-0.017309,-0.315682,-0.831999,0.670007,-0.310227
0.61555,2,0.915003,0.442892,-0.082944,-0.517423,0.23335,-0.10141
-0.264763,1,-0.143729,-0.615571,-0.640105,-0.749216,-0.698185,-0.803793
